table_name|columns|col_count
tbl_file_path_restore|id:bigint,job_id:bigint,app_uuid:text,cache_path:text,cache_path_escaped:text,volume_id:integer,file_id:bigint,folder_id:bigint,file_size:bigint,file_md5:text,check_status:smallint,type:integer,slot_id:integer|13
tbl_check_template|id:text,template_type:text,template_name:text,template_description:text,template_order:text,before_file:text,before_method:text,after_file:text,after_method:text,locked:smallint,create_time:timestamp without time zone,update_time:timestamp without time zone,del_status:smallint|13
tbl_verify_record_drp|id:bigint,upload_record_id:bigint,file_name:text,details_count:integer,operate_time:timestamp without time zone,operate_stage:smallint,user_id:integer,org_depa_id:integer,status:smallint,remark:text,task_no:text,cmt:text|12
tbl_task_items|id:bigint,task_id:bigint,root_path:text,original_path:text,item_name:text,volume_id:integer,lib_parent_folder:text,is_folder:smallint,slot_id:integer,status:integer,project_id:integer,cmt:text|12
tbl_schedule_job|id:bigint,task_name:text,func_name:text,func_sign:text,func_param:text,enable:smallint,cron:text,cron_desc:text,remark:text,create_time:timestamp without time zone,update_time:timestamp without time zone,cmt:text|12
tbl_check_sub_category|id:text,template_id:text,sector:text,category:text,sub_category:text,sub_category_order:text,disabled:smallint,sub_category_description:text,create_time:timestamp without time zone,update_time:timestamp without time zone,del_status:smallint|11
tbl_dict_item|id:bigint,dict_id:bigint,item_name:text,item_code:text,show_status:smallint,show_sort:integer,remark:text,create_time:timestamp without time zone,update_time:timestamp without time zone,is_build_in:smallint,cmt:text|11
tbl_hd_power|id:bigint,task_id:bigint,lib_id:integer,mag_id:integer,slot_order:integer,serial_num:text,duration:integer,up_dt:timestamp without time zone,down_dt:timestamp without time zone,status:smallint,smart:text|11
tbl_ft_file|id:bigint,task_id:bigint,slot_id:integer,burn_success:integer,volume_id:integer,file_id:bigint,items_id:bigint,size:bigint,status:smallint,storage_status:smallint,restored_name:text|11
tbl_hot_restore_record|id:bigint,schedule_job_id:bigint,from_path:text,to_path:text,progress:integer,status:smallint,start_time:timestamp without time zone,end_time:timestamp without time zone,error_message:text,cmt:text|10
tbl_lib_task|id:bigint,task_id:bigint,disc_id:integer,task_status:integer,command:text,lib_id:integer,drive:integer,start_dt:timestamp without time zone,end_dt:timestamp without time zone,cmt:text|10
tbl_receipt_file|id:bigint,file_name:text,file_size:bigint,hash:text,r_id:bigint,create_date:timestamp without time zone,status:smallint,path:text,check_id:text,cmt:text|10
tbl_dict|id:bigint,category_id:bigint,dict_name:text,show_status:smallint,show_sort:integer,remark:text,create_time:timestamp without time zone,update_time:timestamp without time zone,is_build_in:smallint,cmt:text|10
tbl_depa|depa_id:bigint,depa_name:text,depa_code:text,alia_name:text,depa_enable:smallint,min_optical:smallint,create_time:timestamp without time zone,update_time:timestamp without time zone,base:smallint,del_flag:smallint|10
tbl_evidence_record_drp|id:bigint,upload_record_id:bigint,file_name:text,details_count:integer,operate_time:timestamp without time zone,user_id:integer,org_depa_id:integer,status:smallint,remark:text,cmt:text|10
tbl_hot_backup_record|id:bigint,schedule_job_id:bigint,from_path:text,to_path:text,progress:integer,status:smallint,start_time:timestamp without time zone,end_time:timestamp without time zone,error_message:text,cmt:text|10
tbl_receipt_file_detail|id:bigint,receipt_file_id:bigint,file_name:text,path:text,file_size:bigint,hash:text,create_date:timestamp without time zone,status:smallint,is_folder:smallint|9
tbl_user_mfa|id:integer,user_id:integer,mfa_type:smallint,credential:text,credential_addition:text,display_name:text,is_enabled:smallint,is_primary:smallint,created_at:timestamp without time zone|9
tbl_project|project_id:bigint,maintitle:text,project_title:text,subtitle:text,project_dt:timestamp without time zone,volume_id:integer,status:integer,cmt:text,project_num:text|9
tbl_task_certif_status|id:bigint,task_id:bigint,task_item_id:bigint,task_type:integer,task_mode:smallint,status:smallint,create_time:timestamp without time zone,update_time:timestamp without time zone,cmt:text|9
tbl_dict_category|id:bigint,category_name:text,show_status:smallint,show_sort:integer,remark:text,create_time:timestamp without time zone,update_time:timestamp without time zone,is_build_in:smallint,cmt:text|9
tbl_check_sector|id:text,sector:text,sector_name:text,sector_description:text,sector_order:text,create_time:timestamp without time zone,update_time:timestamp without time zone,del_status:smallint|8
tbl_check_category|id:text,category:text,category_name:text,category_description:text,category_order:text,create_time:timestamp without time zone,update_time:timestamp without time zone,del_status:smallint|8
tbl_magzines|mag_id:integer,lib_id:integer,rfid:text,disc_type:integer,mag_order:integer,door_status:integer,earliest_time:text,latest_time:text|8
tbl_import_folder_log|id:bigint,type:integer,file_name:text,create_time:timestamp without time zone,total_data:bigint,status:integer,title_id_list:text,cmt:text|8
tbl_backup_db|id:bigint,create_dt:timestamp without time zone,backup_path:text,status:smallint,progress:smallint,task_id:bigint,cmt:text|7
tbl_drivers_burn|id:integer,driver_sn:text,burn_status:smallint,burn_data:bigint,start_time:timestamp without time zone,end_time:timestamp without time zone,cmt:text|7
tbl_depa_user_info|id:bigint,depa_id:integer,user_id:integer,fuc_id:integer,create_time:timestamp without time zone,update_time:timestamp without time zone,del_status:smallint|7
tbl_early_warning|id:bigint,title:text,type:smallint,status:integer,s_level:smallint,create_date:timestamp without time zone|6
tbl_iso_task_sync|id:bigint,task_id:bigint,type:bigint,volume_id:bigint,status:smallint,create_time:timestamp without time zone|6
tbl_file_parts|id:bigint,volume_id:integer,file_id:bigint,split_file_id:bigint,status:smallint|5
(88 rows)
